tweet;replies_count;retweets_count;likes_count
Paulo Dybala Bawa Pulang Jaring Gawang Final Piala Dunia 2022  https://t.co/rLE9YeS4fb;28;48;435
Frustasi! Mbappe tendang bola keluar lapangan di final Piala Dunia, Argentina VS Prancis, Leo Messi bersinar - Lombok Insider  https://t.co/Uwh76AKdlx;0;0;0
"Penebusan Di Maria Setelah ""Final yang Hilang"" pada Piala Dunia 2014  https://t.co/z2LodAPRZm";0;0;2
Nonton piala dunia dari 2002 dan ini final yang paling seru ,congrats argentina;0;0;0
Melalui pertandingan yang sengit dan diakhiri dengan adu tendangan Penalti, Argentina sukses menjadi Juara Piala Dunia 2022 setelah di partai final mengalahkan Perancis 7-5 (3-3). #Olahraga #AdadiKompas  https://t.co/011JbxeTqO;0;0;0
Selamat pagi buat kalian yang baru bangun dan gak nonton final Piala Dunia.  Semangat bekerja di hari Senin ya ☀️🌄  #MondayMotivation;2;6;29
semalem udh gbs tidur karna banyak distraksi, pas bgt mau lelap kyknya final piala dunia beres trs pada tereakk rame bener;0;0;0
Hasil Final Piala Dunia 2022: Argentina Akhirnya Juara Setelah ‘Puasa’ 36 Tahun  https://t.co/hpTA8BIXll;0;0;0
Nobar Final Piala Dunia World Cup 2022  https://t.co/MXNlOB4boG;0;0;1
Ngkuk bengi final piala dunia -rek  Aku dukung prancis soale aku ngefans berat karo giroud, awakmu dukung sopo?  https://t.co/yyB3QyUoLO;32;0;21
Kenapa final piala dunia gk malam minggu aja, biar besoknya bisa langsung hibernasi, masih ngantuk cukk;0;0;0
Mbappe, cemerlang di babak final tapi sayang tidak juara.  #EmtekWorldCup2022 #BolacomWorldCup2022 #PialaDunia2022 #PialaDunia   https://t.co/dUOv0TcxIU;0;0;1
Cocok sehabis nonton Final Piala Dunia 🏆⚽   https://t.co/a3q1ClBbj1  https://t.co/MWjWFZu2U3;0;0;0
Piala dunia ketolong comeback di final dari mbape dan finalti.;0;0;1
